,0
0,5
1,11
2,16
3,29
4,32
5,33
6,40
7,45
8,47
9,53
10,55
11,87
12,90
13,93
14,99
15,116
16,119
17,128
18,142
19,144
20,146
21,152
22,164
23,171
24,180
25,182
26,200
27,205
28,207
29,227
30,229
31,230
32,246
33,251
34,256
35,272
36,276
37,282
38,283
39,294
40,314
41,322
42,325
43,365
44,371
45,374
46,380
47,382
48,384
49,385
50,387
51,389
52,390
53,391
54,393
55,399
56,401
57,402
58,403
59,404
60,406
61,407
62,408
63,410
64,415
65,418
66,427
67,428
68,429
69,440
70,447
71,452
72,453
73,455
74,457
75,463
76,468
77,469
78,472
79,494
80,504
81,507
82,508
83,509
84,511
85,513
86,515
87,517
88,522
89,523
90,528
91,531
92,532
93,533
94,534
95,535
96,536
97,539
98,544
99,547
100,582
101,587
102,622
103,658
104,679
105,690
106,698
107,700
108,713
109,718
110,729
111,730
112,732
113,744
114,749
115,755
116,760
117,762
118,777
119,784
120,794
121,828
122,837
123,839
124,840
125,844
126,845
127,855
128,857
129,859
130,870
131,872
132,889
133,898
134,909
135,914
136,915
137,925
138,939
139,947
140,950
141,951
142,955
143,961
144,967
145,968
146,973
147,979
148,984
149,987
150,996
151,998
152,1007
153,1011
154,1028
155,1031
156,1032
157,1034
158,1037
159,1038
160,1041
161,1052
162,1056
163,1058
164,1064
165,1065
166,1068
167,1072
168,1077
169,1081
170,1084
171,1087
172,1104
173,1110
174,1111
175,1124
176,1129
177,1136
178,1150
179,1166
180,1168
181,1184
182,1196
183,1210
184,1214
185,1222
186,1225
187,1227
188,1231
189,1234
190,1250
191,1255
192,1256
193,1268
194,1277
195,1284
196,1287
197,1312
198,1315
199,1316
200,1320
201,1334
202,1338
203,1345
204,1364
205,1370
206,1379
207,1385
208,1393
209,1406
210,1426
211,1436
212,1441
213,1445
214,1448
215,1451
216,1462
217,1491
218,1508
219,1513
220,1517
221,1532
222,1533
223,1537
224,1543
225,1545
226,1546
227,1555
228,1585
229,1591
230,1593
231,1605
232,1606
233,1613
234,1637
235,1638
236,1658
237,1659
238,1660
239,1662
240,1663
241,1665
242,1676
243,1700
244,1708
245,1710
246,1713
247,1717
248,1718
249,1723
250,1725
251,1730
252,1736
253,1737
254,1738
255,1740
256,1746
257,1753
258,1762
259,1767
260,1769
261,1774
262,1776
263,1779
264,1787
265,1788
266,1790
267,1796
268,1797
269,1800
270,1804
271,1805
272,1814
273,1815
274,1827
275,1833
276,1844
277,1845
278,1846
279,1847
280,1849
281,1856
282,1864
283,1867
284,1909
285,1910
286,1945
287,1965
288,2069
289,2101
290,2162
291,2187
292,2210
293,2230
294,2243
295,2244
296,2246
297,2260
298,2266
299,2271
300,2313
301,2317
302,2319
303,2327
304,2333
305,2347
306,2357
307,2379
308,2381
309,2387
310,2400
311,2405
312,2406
313,2410
314,2417
315,2418
316,2427
317,2438
318,2442
319,2443
320,2449
321,2457
322,2459
323,2460
324,2462
325,2467
326,2471
327,2484
328,2485
329,2488
330,2491
331,2501
332,2504
333,2513
334,2523
335,2530
336,2532
337,2560
338,2561
339,2570
340,2574
341,2588
342,2595
343,2628
344,2629
345,2632
346,2643
347,2653
348,2671
349,2684
350,2685
351,2696
352,2707
353,2708
354,2726
355,2728
356,2751
357,2762
358,2763
359,2767
360,2772
361,2773
362,2774
363,2775
364,2777
365,2782
366,2785
367,2787
368,2788
369,2790
370,2791
371,2792
372,2795
373,2796
