,0
0,24
1,72
2,93
3,108
4,154
5,155
6,185
7,186
8,241
9,383
10,481
11,510
12,625
13,657
14,658
15,740
16,742
17,813
18,842
19,855
20,887
21,903
22,977
23,1088
24,1163
25,1236
26,1298
27,1307
28,1394
29,1423
30,1785
31,1805
32,1823
33,1824
34,1866
35,1973
36,1983
37,2049
38,2125
39,2133
40,2146
41,2147
42,2204
43,2206
44,2207
45,2223
46,2242
47,2247
48,2285
49,2444
50,2471
51,2514
52,2526
53,2542
54,2547
55,2814
56,2815
57,2821
58,2822
59,2828
60,2847
61,2881
62,2892
63,2893
64,2896
65,2913
66,3070
67,3107
68,3124
69,3132
70,3134
71,3248
72,3282
73,3351
74,3363
75,3381
76,3415
77,3474
78,3502
79,3520
80,3538
81,3561
82,3709
83,3721
84,3847
85,3867
86,3944
87,3969
88,3972
89,3978
90,3983
91,3995
92,4004
93,4015
94,4020
95,4044
96,4054
97,4058
98,4062
99,4065
100,4066
101,4074
102,4075
103,4083
104,4085
105,4093
106,4095
107,4097
108,4105
109,4112
110,4119
111,4130
112,4137
113,4143
114,4145
115,4146
116,4148
117,4149
118,4150
119,4154
120,4157
121,4158
122,4160
123,4164
124,4170
125,4184
126,4204
127,4219
128,4228
129,4233
130,4249
131,4250
132,4254
133,4256
134,4257
135,4265
136,4276
137,4277
138,4279
139,4280
140,4290
141,4294
142,4299
143,4317
144,4339
145,4362
146,4373
147,4390
148,4395
149,4396
150,4397
151,4401
152,4402
153,4403
154,4405
155,4410
156,4412
157,4414
158,4425
159,4432
160,4437
161,4438
162,4440
163,4444
164,4448
165,4452
166,4453
167,4454
168,4458
169,4459
170,4473
171,4474
172,4475
173,4476
174,4480
175,4491
176,4492
177,4493
178,4506
179,4516
180,4517
181,4526
182,4527
183,4528
184,4529
185,4536
186,4542
187,4543
188,4546
189,4547
190,4548
191,4551
192,4570
193,4667
194,4924
195,4925
196,5061
197,5294
198,5296
199,5312
200,5342
201,5346
202,5354
203,5356
204,5409
205,5653
206,5786
207,5796
208,5802
209,5875
210,5896
211,5920
212,6007
213,6008
214,6026
215,6036
216,6042
217,6062
218,6105
219,6107
220,6114
221,6116
222,6132
223,6176
224,6193
225,6195
226,6235
227,6275
228,6348
229,6413
230,6462
231,6551
232,6555
233,6556
234,6561
235,6633
236,6641
237,6650
238,6669
239,6670
240,6673
241,6676
242,6678
243,6693
244,6713
245,6717
246,6746
247,6753
248,6763
249,6785
250,6788
251,6800
252,6804
253,6809
254,6810
255,6824
256,6825
257,6828
258,6830
259,6832
260,6836
261,6838
262,6841
263,6845
264,6847
265,6850
266,6851
267,6853
268,6855
269,6857
270,6864
271,6865
272,6866
273,6867
274,6869
275,6902
276,6923
277,6932
278,6935
279,6937
280,6957
281,6958
282,6969
283,6985
284,6987
285,6990
286,6995
287,6998
288,7005
289,7017
290,7018
291,7020
292,7023
293,7024
294,7040
295,7043
296,7054
297,7056
298,7058
299,7059
300,7069
301,7080
302,7087
303,7097
304,7098
305,7108
306,7110
307,7118
308,7120
309,7121
310,7124
311,7128
312,7130
313,7131
314,7132
315,7133
316,7139
317,7140
318,7186
319,7244
320,7258
321,7267
322,7269
323,7314
324,7324
325,7408
326,7569
327,7594
328,7595
329,7597
330,7600
331,7601
332,7620
333,7645
334,7672
335,7697
336,7704
337,7712
338,7717
339,7718
340,7720
341,7730
342,7745
343,7758
344,7779
345,7818
346,7835
347,7839
348,7845
349,7916
350,7951
351,7960
352,7969
353,7970
354,7985
355,7999
356,8015
357,8016
358,8018
359,8030
360,8043
361,8050
362,8052
363,8053
364,8054
365,8063
366,8068
367,8073
368,8078
369,8108
370,8109
371,8114
372,8115
373,8118
374,8124
375,8129
376,8133
377,8135
378,8137
379,8142
380,8162
381,8164
382,8168
383,8177
384,8178
385,8252
386,8257
387,8284
388,8330
389,8339
390,8383
391,8418
392,8424
393,8498
394,8505
395,8507
396,8509
397,8723
398,8724
399,8725
400,8764
401,8770
402,8797
403,8800
404,8804
405,8808
406,8811
407,8815
408,8818
409,8819
410,8820
411,8824
412,8827
413,8832
414,8833
415,8836
416,8841
417,8843
418,8888
419,8911
420,8917
421,8927
422,8944
423,8946
424,9031
425,9066
426,9095
427,9103
428,9104
429,9131
430,9150
431,9241
432,9289
433,9305
434,9307
435,9348
436,9437
437,9442
438,9446
439,9447
440,9448
441,9467
442,9509
443,9607
444,9651
445,9662
446,9761
447,9771
448,9934
449,9948
450,9950
451,9951
452,9964
453,9965
454,9967
455,10112
456,10146
457,10266
458,10269
459,10274
460,10276
461,10320
462,10321
463,10441
464,10469
465,10560
466,10574
467,10622
468,10663
469,10675
470,10728
471,10785
472,10789
473,10791
474,10845
475,10846
476,10847
477,10848
478,10910
479,10911
480,10930
481,10934
482,10939
483,10954
484,10961
485,10969
486,11003
487,11004
488,11005
489,11036
490,11037
491,11072
492,11090
493,11176
494,11202
495,11303
496,11367
497,11392
498,11437
499,11441
500,11456
501,11466
502,11520
503,11531
504,11535
505,11558
506,11588
507,11595
508,11614
509,11616
510,11620
511,11635
512,11678
513,11682
514,11683
515,11690
516,11696
517,11699
518,11714
519,11726
520,11731
521,11735
522,11792
523,11823
524,11883
525,11899
526,11935
527,11958
528,12057
