Validation_Set,Topics,Alpha,Beta,Coherence
20% Corpus,2,0.01,0.01,0.6388034642715956
20% Corpus,2,0.01,0.31,0.5958401252659696
20% Corpus,2,0.01,0.61,0.6695770137954589
20% Corpus,2,0.01,0.9099999999999999,0.6590106903181647
20% Corpus,2,0.01,symmetric,0.6807063822477613
20% Corpus,2,0.31,0.01,0.6531676654724892
20% Corpus,2,0.31,0.31,0.4548686926613943
20% Corpus,2,0.31,0.61,0.683391741582534
20% Corpus,2,0.31,0.9099999999999999,0.6818257346664798
20% Corpus,2,0.31,symmetric,0.6655473673532056
20% Corpus,2,0.61,0.01,0.6478803087455529
20% Corpus,2,0.61,0.31,0.6352947375312389
20% Corpus,2,0.61,0.61,0.6754337165262785
20% Corpus,2,0.61,0.9099999999999999,0.6866111732236932
20% Corpus,2,0.61,symmetric,0.6134629618060596
20% Corpus,2,0.9099999999999999,0.01,0.6518129154855912
20% Corpus,2,0.9099999999999999,0.31,0.6399432703957417
20% Corpus,2,0.9099999999999999,0.61,0.5803296743489399
20% Corpus,2,0.9099999999999999,0.9099999999999999,0.7013359913188805
20% Corpus,2,0.9099999999999999,symmetric,0.5067310890204894
20% Corpus,2,asymmetric,0.01,0.6651617232364959
20% Corpus,2,asymmetric,0.31,0.5660673488605835
20% Corpus,2,asymmetric,0.61,0.675741441748493
20% Corpus,2,asymmetric,0.9099999999999999,0.6677793343921529
20% Corpus,2,asymmetric,symmetric,0.6927329004800653
20% Corpus,3,0.01,0.01,0.6438168764562832
20% Corpus,3,0.01,0.31,0.6638918850871092
20% Corpus,3,0.01,0.61,0.6209000716750718
20% Corpus,3,0.01,0.9099999999999999,0.6203954828352636
20% Corpus,3,0.01,symmetric,0.666870237402109
20% Corpus,3,0.31,0.01,0.6692453679224992
20% Corpus,3,0.31,0.31,0.6025682415264687
20% Corpus,3,0.31,0.61,0.6628235878158434
20% Corpus,3,0.31,0.9099999999999999,0.6375086694417341
20% Corpus,3,0.31,symmetric,0.6169716293465807
20% Corpus,3,0.61,0.01,0.656159453320801
20% Corpus,3,0.61,0.31,0.573706395089394
20% Corpus,3,0.61,0.61,0.6429607635831219
20% Corpus,3,0.61,0.9099999999999999,0.6720783290453264
20% Corpus,3,0.61,symmetric,0.5674077948530601
20% Corpus,3,0.9099999999999999,0.01,0.6461986361311158
20% Corpus,3,0.9099999999999999,0.31,0.6204026963138384
20% Corpus,3,0.9099999999999999,0.61,0.6339769618624379
20% Corpus,3,0.9099999999999999,0.9099999999999999,0.6827411950022246
20% Corpus,3,0.9099999999999999,symmetric,0.6036143018253469
20% Corpus,3,asymmetric,0.01,0.6286636217084801
20% Corpus,3,asymmetric,0.31,0.5211197427279979
20% Corpus,3,asymmetric,0.61,0.6066291909267609
20% Corpus,3,asymmetric,0.9099999999999999,0.5679935149629355
20% Corpus,3,asymmetric,symmetric,0.5932429117256077
20% Corpus,4,0.01,0.01,0.6300432173163891
20% Corpus,4,0.01,0.31,0.5833689475282228
20% Corpus,4,0.01,0.61,0.6052671704595806
20% Corpus,4,0.01,0.9099999999999999,0.5931260430226798
20% Corpus,4,0.01,symmetric,0.5785098312179648
20% Corpus,4,0.31,0.01,0.6030199040117057
20% Corpus,4,0.31,0.31,0.5388462633859654
20% Corpus,4,0.31,0.61,0.6465613007059584
20% Corpus,4,0.31,0.9099999999999999,0.6230848048289326
20% Corpus,4,0.31,symmetric,0.5772810391315107
20% Corpus,4,0.61,0.01,0.6189036267290382
20% Corpus,4,0.61,0.31,0.591061521536544
20% Corpus,4,0.61,0.61,0.5655424812009763
20% Corpus,4,0.61,0.9099999999999999,0.6554782788579465
20% Corpus,4,0.61,symmetric,0.5991462002588437
20% Corpus,4,0.9099999999999999,0.01,0.6166425281464469
20% Corpus,4,0.9099999999999999,0.31,0.640195479938405
20% Corpus,4,0.9099999999999999,0.61,0.5994960699012764
20% Corpus,4,0.9099999999999999,0.9099999999999999,0.6838294275841754
20% Corpus,4,0.9099999999999999,symmetric,0.6234457088254857
20% Corpus,4,asymmetric,0.01,0.5429510644468973
20% Corpus,4,asymmetric,0.31,0.5445034126974131
20% Corpus,4,asymmetric,0.61,0.5977810935834287
20% Corpus,4,asymmetric,0.9099999999999999,0.4896919644325424
20% Corpus,4,asymmetric,symmetric,0.4297167891227619
20% Corpus,5,0.01,0.01,0.6331093374351588
20% Corpus,5,0.01,0.31,0.5698106925026337
20% Corpus,5,0.01,0.61,0.5456328442958566
20% Corpus,5,0.01,0.9099999999999999,0.5710345536681709
20% Corpus,5,0.01,symmetric,0.45026459729832774
20% Corpus,5,0.31,0.01,0.6160079618320391
20% Corpus,5,0.31,0.31,0.42013514620331777
20% Corpus,5,0.31,0.61,0.5791687058029995
20% Corpus,5,0.31,0.9099999999999999,0.5608099132778859
20% Corpus,5,0.31,symmetric,0.536635048141094
20% Corpus,5,0.61,0.01,0.6115555863334536
20% Corpus,5,0.61,0.31,0.5282540325353604
20% Corpus,5,0.61,0.61,0.6411533401223329
20% Corpus,5,0.61,0.9099999999999999,0.6632609173622656
20% Corpus,5,0.61,symmetric,0.5830909658700812
20% Corpus,5,0.9099999999999999,0.01,0.5934292888420096
20% Corpus,5,0.9099999999999999,0.31,0.5337594738217782
20% Corpus,5,0.9099999999999999,0.61,0.6404476250985738
